;Scopy version,f8fd4de
;Exported on,Monday August 29/08/2022
;Device,M2K
;Nr of samples,100
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,500,45.893,179.089
1,551.001,25.4877,179.152
2,607.205,25.4943,179.256
3,669.142,25.4958,179.233
4,737.396,25.5017,178.954
5,812.613,25.484,178.903
6,895.502,25.4878,178.874
7,986.846,25.4842,178.536
8,1087.51,25.4999,178.443
9,1198.44,25.5073,178.289
10,1320.68,25.5068,178.007
11,1455.39,25.5099,177.839
12,1603.85,25.5156,177.674
13,1767.44,25.5208,177.368
14,1947.73,25.5263,177.013
15,2146.4,25.5333,176.674
16,2365.34,25.5466,176.334
17,2606.61,25.5611,175.858
18,2872.5,25.57,175.579
19,3165.5,25.5757,174.887
20,3488.39,25.5922,174.295
21,3844.21,25.5956,173.641
22,4236.33,25.6013,172.824
23,4668.45,25.6006,171.616
24,5144.65,25.6027,170.735
25,5669.42,25.592,169.609
26,6247.72,25.5808,168.461
27,6885,25.5543,167.086
28,7587.29,25.4617,165.547
29,8361.22,25.4234,164.283
30,9214.08,25.35,162.164
31,10153.9,25.2684,160.441
32,11189.7,25.1569,158.001
33,12331.1,25.0149,155.648
34,13588.9,24.8402,152.906
35,14975,24.6186,150.017
36,16502.5,24.3477,146.784
37,18185.8,24.0291,143.681
38,20040.8,23.6201,139.846
39,22085,23.115,135.506
40,24337.7,22.5275,130.605
41,26820.2,21.8371,126.136
42,29556,21.0403,122.462
43,32570.8,20.1896,119.351
44,35893.1,19.226,116.578
45,39554.3,18.3744,111.696
46,43588.9,17.3997,109.475
47,48035.1,16.5158,107.878
48,52934.8,15.5029,106.286
49,58334.3,14.5802,101.313
50,64284.6,13.2544,101.138
51,70841.8,12.5684,100.373
52,78067.9,11.7064,97.7096
53,86031.1,10.8943,97.6263
54,94806.5,10.0471,94.6208
55,104477,9.14749,93.4722
56,115134,8.2674,91.4284
57,126878,7.41352,89.8201
58,139820,6.51518,88.0561
59,154082,5.63152,87.3188
60,169799,4.80104,84.9751
61,187119,3.91845,83.4956
62,206205,3.09343,80.0994
63,227239,2.28066,79.627
64,250418,1.43236,78.4241
65,275961,0.664645,75.179
66,304110,-0.0294131,76.201
67,335130,-0.788968,73.5138
68,369314,-1.45754,72.6114
69,406986,-2.09833,70.5466
70,448499,-2.65745,66.3541
71,494248,-3.33649,69.0222
72,544662,-4.23651,60.1616
73,600219,-4.6782,64.0588
74,661444,-5.15164,64.3851
75,728913,-6.15491,56.3969
76,803264,-6.60906,63.9217
77,885199,-7.03165,45.4425
78,975492,-7.18543,60.9026
79,1.075e+06,-7.94098,50.8109
80,1.18465e+06,-8.30012,48.1264
81,1.30549e+06,-8.61434,46.562
82,1.43865e+06,-8.76256,43.7854
83,1.58539e+06,-8.84431,40.6595
84,1.74711e+06,-8.50686,37.9776
85,1.92532e+06,-8.11921,39.542
86,2.12171e+06,-7.36441,28.7891
87,2.33813e+06,-4.98303,12.1857
88,2.57662e+06,-3.66864,-16.2836
89,2.83945e+06,-4.78957,-38.9397
90,3.12908e+06,-5.77132,-51.1323
91,3.44825e+06,-7.86679,-59.1994
92,3.79999e+06,-8.56769,-81.8531
93,4.1876e+06,-10.8975,-100.006
94,4.61474e+06,-13.739,-75.8535
95,5.08546e+06,-14.4819,-74.9542
96,5.60419e+06,-13.0068,-66.5337
97,6.17584e+06,-14.8451,-28.4114
98,6.80579e+06,-14.915,-5.95787
99,7.5e+06,-12.1136,-82.0488
