;Scopy version,f8fd4de
;Exported on,Monday August 29/08/2022
;Device,M2K
;Nr of samples,100
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,500,13.9475,179.513
1,551.001,13.9523,179.602
2,607.205,13.9505,179.724
3,669.142,13.9595,179.531
4,737.396,13.9545,179.565
5,812.613,13.9524,179.497
6,895.502,13.951,179.571
7,986.846,13.9518,179.434
8,1087.51,13.959,179.311
9,1198.44,13.9589,179.288
10,1320.68,13.9583,179.18
11,1455.39,13.9561,179.037
12,1603.85,13.9561,178.973
13,1767.44,13.9552,178.923
14,1947.73,13.9516,178.772
15,2146.4,13.9513,178.678
16,2365.34,13.9493,178.488
17,2606.61,13.955,178.451
18,2872.5,13.9699,178.263
19,3165.5,13.968,178.027
20,3488.39,13.9602,177.752
21,3844.21,13.958,177.627
22,4236.33,13.9695,177.322
23,4668.45,13.963,176.849
24,5144.65,13.9693,176.596
25,5669.42,13.9632,176.433
26,6247.72,13.9586,175.978
27,6885,13.9587,175.556
28,7587.29,13.9612,175.132
29,8361.22,13.956,174.382
30,9214.08,13.9563,173.875
31,10153.9,13.9646,173.389
32,11189.7,13.9579,172.644
33,12331.1,13.9419,171.782
34,13588.9,13.9269,170.95
35,14975,13.9089,170.037
36,16502.5,13.8822,168.969
37,18185.8,13.8548,168.075
38,20040.8,13.8083,166.517
39,22085,13.7602,165.19
40,24337.7,13.7085,163.352
41,26820.2,13.6474,161.725
42,29556,13.569,159.512
43,32570.8,13.4576,157.264
44,35893.1,13.3389,154.873
45,39554.3,13.1794,151.973
46,43588.9,12.9819,149.297
47,48035.1,12.7322,146.075
48,52934.8,12.4418,143.19
49,58334.3,12.0607,137.945
50,64284.6,10.9893,128.814
51,70841.8,10.1255,128.494
52,78067.9,9.64992,126.129
53,86031.1,9.12319,121.924
54,94806.5,8.48438,118.35
55,104477,7.73496,113.366
56,115134,6.8749,108.152
57,126878,5.98085,103.262
58,139820,5.07174,99.2955
59,154082,4.18425,95.3247
60,169799,3.25516,91.2102
61,187119,2.41105,85.3569
62,206205,1.49468,82.8306
63,227239,0.721275,77.1273
64,250418,0.00481991,71.2379
65,275961,-0.743562,68.2037
66,304110,-1.38119,64.0167
67,335130,-2.01361,60.6452
68,369314,-2.52547,54.6612
69,406986,-3.00538,50.266
70,448499,-3.38975,46.0917
71,494248,-3.75054,42.7789
72,544662,-4.0765,40.5001
73,600219,-4.36693,36.6826
74,661444,-4.61336,33.5281
75,728913,-4.79338,30.9319
76,803264,-5.09999,30.7775
77,885199,-5.16846,26.2348
78,975492,-5.3228,23.3365
79,1.075e+06,-5.42944,24.9706
80,1.18465e+06,-5.40593,24.3796
81,1.30549e+06,-5.2839,23.3338
82,1.43865e+06,-4.96257,21.826
83,1.58539e+06,-4.45036,19.5302
84,1.74711e+06,-3.73894,15.3093
85,1.92532e+06,-2.79387,9.20969
86,2.12171e+06,-2.01061,1.07708
87,2.33813e+06,-1.63984,-8.68997
88,2.57662e+06,-1.67711,-17.696
89,2.83945e+06,-1.93517,-25.2394
90,3.12908e+06,-2.47084,-29.8955
91,3.44825e+06,-3.07971,-37.697
92,3.79999e+06,-3.74199,-44.0663
93,4.1876e+06,-4.42228,-48.975
94,4.61474e+06,-5.5294,-55.3297
95,5.08546e+06,-6.45923,-57.4109
96,5.60419e+06,-7.51287,-65.1138
97,6.17584e+06,-8.28534,-59.9819
98,6.80579e+06,-9.48297,-69.6896
99,7.5e+06,-9.90908,-73.9142
